land	instrument	tid	Daglige renter (procent)	
DK: Danmark	DESTR Referencerente	2010M04D06	0.0000
DK: Danmark	DESTR Referencerente	2010M04D07	0.0000
DK: Danmark	DESTR Referencerente	2010M04D08	0.0000
DK: Danmark	DESTR Referencerente	2010M04D09	0.0000
DK: Danmark	DESTR Referencerente	2010M04D12	0.0000
DK: Danmark	DESTR Referencerente	2010M04D13	0.0000
DK: Danmark	DESTR Referencerente	2010M04D14	0.0000
DK: Danmark	DESTR Referencerente	2010M04D15	0.0000
DK: Danmark	DESTR Referencerente	2010M04D16	0.0000
DK: Danmark	DESTR Referencerente	2010M04D19	0.0000
DK: Danmark	DESTR Referencerente	2010M04D20	0.0000
DK: Danmark	DESTR Referencerente	2010M04D21	0.0000
DK: Danmark	DESTR Referencerente	2010M04D22	0.0000
DK: Danmark	DESTR Referencerente	2010M04D23	0.0000
DK: Danmark	DESTR Referencerente	2010M04D26	0.0000
DK: Danmark	DESTR Referencerente	2010M04D27	0.0000
DK: Danmark	DESTR Referencerente	2010M04D28	0.0000
DK: Danmark	DESTR Referencerente	2010M04D29	0.0000
DK: Danmark	DESTR Referencerente	2010M05D03	0.0000
DK: Danmark	DESTR Referencerente	2010M05D04	0.0000
DK: Danmark	DESTR Referencerente	2010M05D05	0.0000
DK: Danmark	DESTR Referencerente	2010M05D06	0.0000
DK: Danmark	DESTR Referencerente	2010M05D07	0.0000
DK: Danmark	DESTR Referencerente	2010M05D10	0.0000
DK: Danmark	DESTR Referencerente	2010M05D11	0.0000
DK: Danmark	DESTR Referencerente	2010M05D12	0.0000
DK: Danmark	DESTR Referencerente	2010M05D17	0.0000
DK: Danmark	DESTR Referencerente	2010M05D18	0.0000
DK: Danmark	DESTR Referencerente	2010M05D19	0.0000
DK: Danmark	DESTR Referencerente	2010M05D20	0.0000
DK: Danmark	DESTR Referencerente	2010M05D21	0.0000
DK: Danmark	DESTR Referencerente	2010M05D25	0.0000
DK: Danmark	DESTR Referencerente	2010M05D26	0.0000
DK: Danmark	DESTR Referencerente	2010M05D27	0.0000
DK: Danmark	DESTR Referencerente	2010M05D28	0.0000
DK: Danmark	DESTR Referencerente	2010M05D31	0.0000
DK: Danmark	DESTR Referencerente	2010M06D01	0.0000
DK: Danmark	DESTR Referencerente	2010M06D02	0.0000
DK: Danmark	DESTR Referencerente	2010M06D03	0.0000
DK: Danmark	DESTR Referencerente	2010M06D04	0.0000
DK: Danmark	DESTR Referencerente	2010M06D07	0.0000
DK: Danmark	DESTR Referencerente	2010M06D08	0.0000
DK: Danmark	DESTR Referencerente	2010M06D09	0.0000
DK: Danmark	DESTR Referencerente	2010M06D10	0.0000
DK: Danmark	DESTR Referencerente	2010M06D11	0.0000
DK: Danmark	DESTR Referencerente	2010M06D14	0.0000
DK: Danmark	DESTR Referencerente	2010M06D15	0.0000
DK: Danmark	DESTR Referencerente	2010M06D16	0.0000
DK: Danmark	DESTR Referencerente	2010M06D17	0.0000
DK: Danmark	DESTR Referencerente	2010M06D18	0.0000
