"Date (UTC)","Timestamp (UTC)","Price"
"03-28-2025 23:00","1743202806","0.21"
"03-29-2025 00:00","1743206406","0.21"
"03-29-2025 01:00","1743210006","0.21"
"03-29-2025 02:00","1743213605","0.21"
"03-29-2025 03:00","1743217206","0.21"
"03-29-2025 04:00","1743220806","0.21"
"03-29-2025 05:00","1743224405","0.21"
"03-29-2025 06:00","1743228005","0.21"
"03-29-2025 07:00","1743231606","0.21"
"03-29-2025 08:00","1743235205","0.21"
"03-29-2025 09:00","1743238805","0.21"
"03-29-2025 10:00","1743242405","0.21"
"03-29-2025 11:00","1743246005","0.21"
"03-29-2025 12:00","1743249606","0.21"
"03-29-2025 13:00","1743253205","0.21"
"03-29-2025 14:00","1743256806","0.21"
"03-29-2025 15:00","1743260405","0.21"
"03-29-2025 16:00","1743264005","0.21"
"03-29-2025 17:00","1743267605","0.21"
"03-29-2025 18:00","1743271205","0.21"
"03-29-2025 19:00","1743274806","0.21"
"03-29-2025 20:00","1743278406","0.21"
"03-29-2025 21:00","1743282005","0.21"
"03-29-2025 22:00","1743285605","0.21"
"03-29-2025 23:00","1743289206","0.21"
"03-30-2025 00:00","1743292806","0.21"
"03-30-2025 01:00","1743296406","0.21"
"03-30-2025 03:00","1743300005","0.21"
"03-30-2025 03:00","1743303605","0.21"
"03-30-2025 04:00","1743307205","0.21"
"03-30-2025 05:00","1743310805","0.21"
"03-30-2025 06:00","1743314405","0.21"
"03-30-2025 07:00","1743318006","0.21"
"03-30-2025 08:00","1743321606","0.21"
"03-30-2025 09:00","1743325206","0.21"
"03-30-2025 10:00","1743328806","0.21"
"03-30-2025 11:00","1743332406","0.21"
"03-30-2025 12:00","1743336006","0.21"
"03-30-2025 13:00","1743339606","0.21"
"03-30-2025 14:00","1743343205","0.21"
"03-30-2025 15:00","1743346806","0.21"
"03-30-2025 16:00","1743350405","0.21"
"03-30-2025 17:00","1743354005","0.21"
"03-30-2025 18:00","1743357605","0.21"
"03-30-2025 19:00","1743361206","0.21"
"03-30-2025 20:00","1743364805","0.21"
"03-30-2025 21:00","1743368405","0.21"
"03-30-2025 22:00","1743372005","0.21"
"03-30-2025 23:00","1743375606","0.21"
"03-31-2025 00:00","1743379205","0.22"
"03-31-2025 01:00","1743382805","0.22"
"03-31-2025 02:00","1743386406","0.22"
"03-31-2025 03:00","1743390005","0.22"
"03-31-2025 04:00","1743393605","0.22"
"03-31-2025 05:00","1743397206","0.22"
"03-31-2025 06:00","1743400805","0.22"
"03-31-2025 07:00","1743404405","0.22"
"03-31-2025 08:00","1743408006","0.22"
"03-31-2025 09:00","1743411605","0.22"
"03-31-2025 10:00","1743415205","0.22"
"03-31-2025 11:00","1743418805","0.22"
"03-31-2025 12:00","1743422406","0.22"
"03-31-2025 13:00","1743426005","0.22"
"03-31-2025 14:00","1743429605","0.22"
"03-31-2025 15:00","1743433206","0.22"
"03-31-2025 16:00","1743436806","0.22"
"03-31-2025 17:00","1743440405","0.22"
"03-31-2025 18:00","1743444006","0.22"
"03-31-2025 19:00","1743447605","0.22"
"03-31-2025 20:00","1743451206","0.22"
"03-31-2025 21:00","1743454805","0.23"
"03-31-2025 22:00","1743458405","0.23"
"03-31-2025 23:00","1743462006","0.23"
"04-01-2025 00:00","1743465605","0.23"
"04-01-2025 01:00","1743469206","0.23"
"04-01-2025 02:00","1743472806","0.23"
"04-01-2025 03:00","1743476406","0.23"
"04-01-2025 04:00","1743480006","0.23"
"04-01-2025 05:00","1743483605","0.23"
"04-01-2025 06:00","1743487205","0.23"
"04-01-2025 07:00","1743490806","0.23"
"04-01-2025 08:00","1743494405","0.235"
"04-01-2025 09:00","1743498005","0.235"
"04-01-2025 10:00","1743501605","0.225"
"04-01-2025 11:00","1743505206","0.225"
"04-01-2025 12:00","1743508805","0.225"
"04-01-2025 13:00","1743512406","0.225"
"04-01-2025 14:00","1743516005","0.225"
"04-01-2025 15:00","1743519605","0.22"
"04-01-2025 16:00","1743523205","0.225"
"04-01-2025 17:00","1743526805","0.225"
"04-01-2025 18:00","1743530405","0.225"
"04-01-2025 19:00","1743534005","0.225"
"04-01-2025 20:00","1743537606","0.225"
"04-01-2025 21:00","1743541205","0.225"
"04-01-2025 22:00","1743544806","0.225"
"04-01-2025 23:00","1743548406","0.225"
"04-02-2025 00:00","1743552006","0.225"
"04-02-2025 01:00","1743555606","0.225"
"04-02-2025 02:00","1743559206","0.225"
"04-02-2025 03:00","1743562806","0.225"
"04-02-2025 04:00","1743566405","0.225"
"04-02-2025 05:00","1743570005","0.225"
"04-02-2025 06:00","1743573605","0.225"
"04-02-2025 07:00","1743577204","0.225"
"04-02-2025 08:00","1743580805","0.225"
"04-02-2025 09:00","1743584404","0.225"
"04-02-2025 10:00","1743588005","0.225"
"04-02-2025 11:00","1743591605","0.22"
"04-02-2025 12:00","1743595205","0.22"
"04-02-2025 13:00","1743598805","0.22"
"04-02-2025 14:00","1743602405","0.22"
"04-02-2025 15:00","1743606005","0.22"
"04-02-2025 16:00","1743609606","0.22"
"04-02-2025 17:00","1743613206","0.22"
"04-02-2025 18:00","1743616806","0.22"
"04-02-2025 19:00","1743620406","0.22"
"04-02-2025 20:00","1743624006","0.22"
"04-02-2025 21:00","1743627606","0.22"
"04-02-2025 22:00","1743631206","0.22"
"04-02-2025 23:00","1743634806","0.22"
"04-03-2025 00:00","1743638405","0.22"
"04-03-2025 01:00","1743642006","0.22"
"04-03-2025 02:00","1743645606","0.22"
"04-03-2025 03:00","1743649206","0.22"
"04-03-2025 04:00","1743652806","0.22"
"04-03-2025 05:00","1743656405","0.22"
"04-03-2025 06:00","1743660006","0.22"
"04-03-2025 07:00","1743663606","0.22"
"04-03-2025 08:00","1743667205","0.22"
"04-03-2025 09:00","1743670806","0.22"
"04-03-2025 10:00","1743674406","0.22"
"04-03-2025 11:00","1743678005","0.22"
"04-03-2025 12:00","1743681606","0.215"
"04-03-2025 13:00","1743685205","0.215"
"04-03-2025 14:00","1743688805","0.215"
"04-03-2025 15:00","1743692405","0.215"
"04-03-2025 16:00","1743696006","0.215"
"04-03-2025 17:00","1743699606","0.215"
"04-03-2025 18:00","1743703205","0.215"
"04-03-2025 19:00","1743706806","0.215"
"04-03-2025 20:00","1743710407","0.215"
"04-03-2025 21:00","1743714006","0.215"
"04-03-2025 22:00","1743717606","0.215"
"04-03-2025 23:00","1743721206","0.215"
"04-04-2025 00:00","1743724805","0.215"
"04-04-2025 01:00","1743728406","0.215"
"04-04-2025 02:00","1743732006","0.215"
"04-04-2025 03:00","1743735606","0.215"
"04-04-2025 04:00","1743739205","0.215"
"04-04-2025 05:00","1743742805","0.215"
"04-04-2025 06:00","1743746406","0.215"
"04-04-2025 07:00","1743750006","0.215"
"04-04-2025 08:00","1743753606","0.215"
"04-04-2025 09:00","1743757206","0.215"
"04-04-2025 10:00","1743760806","0.215"
"04-04-2025 11:00","1743764405","0.215"
"04-04-2025 12:00","1743768007","0.215"
"04-04-2025 13:00","1743771605","0.215"
"04-04-2025 14:00","1743775206","0.22"
"04-04-2025 15:00","1743778806","0.22"
"04-04-2025 16:00","1743782406","0.22"
"04-04-2025 17:00","1743786006","0.22"
"04-04-2025 18:00","1743789606","0.22"
"04-04-2025 19:00","1743793206","0.22"
"04-04-2025 20:00","1743796806","0.22"
"04-04-2025 21:00","1743800406","0.22"
"04-04-2025 22:00","1743804006","0.22"
"04-04-2025 23:00","1743807606","0.22"
"04-05-2025 00:00","1743811205","0.22"
"04-05-2025 01:00","1743814806","0.22"
"04-05-2025 02:00","1743818406","0.22"
"04-05-2025 03:00","1743822006","0.22"
"04-05-2025 04:00","1743825606","0.22"
"04-05-2025 05:00","1743829206","0.22"
"04-05-2025 06:00","1743832805","0.22"
"04-05-2025 07:00","1743836405","0.22"
"04-05-2025 08:00","1743840005","0.22"
"04-05-2025 09:00","1743843605","0.22"
"04-05-2025 10:00","1743847205","0.22"
"04-05-2025 11:00","1743850806","0.22"
"04-05-2025 12:00","1743854406","0.22"
"04-05-2025 13:00","1743858005","0.22"
"04-05-2025 14:00","1743861605","0.22"
"04-05-2025 15:00","1743865205","0.22"
"04-05-2025 16:00","1743868805","0.22"
"04-05-2025 17:00","1743872405","0.22"
"04-05-2025 18:00","1743876006","0.22"
"04-05-2025 19:00","1743879606","0.22"
"04-05-2025 20:00","1743883206","0.22"
"04-05-2025 21:00","1743886806","0.225"
"04-05-2025 22:00","1743890405","0.225"
"04-05-2025 23:00","1743894006","0.225"
"04-06-2025 00:00","1743897605","0.225"
"04-06-2025 01:00","1743901205","0.225"
"04-06-2025 02:00","1743904806","0.225"
"04-06-2025 03:00","1743908405","0.225"
"04-06-2025 04:00","1743912006","0.225"
"04-06-2025 05:00","1743915605","0.225"
"04-06-2025 06:00","1743919206","0.225"
"04-06-2025 07:00","1743922807","0.225"
"04-06-2025 08:00","1743926406","0.225"
"04-06-2025 09:00","1743930006","0.225"
"04-06-2025 10:00","1743933606","0.22"
"04-06-2025 11:00","1743937205","0.22"
"04-06-2025 12:00","1743940805","0.22"
"04-06-2025 13:00","1743944405","0.22"
"04-06-2025 14:00","1743948005","0.22"
"04-06-2025 15:00","1743951606","0.22"
"04-06-2025 16:00","1743955206","0.22"
"04-06-2025 17:00","1743958806","0.22"
"04-06-2025 18:00","1743962405","0.22"
"04-06-2025 19:00","1743966005","0.22"
"04-06-2025 20:00","1743969606","0.22"
"04-06-2025 21:00","1743973205","0.22"
"04-06-2025 22:00","1743976805","0.22"
"04-06-2025 23:00","1743980406","0.22"
"04-07-2025 00:00","1743984006","0.22"
"04-07-2025 01:00","1743987606","0.22"
"04-07-2025 02:00","1743991206","0.22"
"04-07-2025 03:00","1743994805","0.22"
"04-07-2025 04:00","1743998405","0.225"
"04-07-2025 05:00","1744002006","0.22"
"04-07-2025 06:00","1744005605","0.22"
"04-07-2025 07:00","1744009206","0.22"
"04-07-2025 08:00","1744012805","0.22"
"04-07-2025 09:00","1744016405","0.22"
"04-07-2025 10:00","1744020005","0.22"
"04-07-2025 11:00","1744023605","0.22"
"04-07-2025 12:00","1744027205","0.22"
"04-07-2025 13:00","1744030805","0.225"
"04-07-2025 14:00","1744034405","0.225"
"04-07-2025 15:00","1744038005","0.225"
"04-07-2025 16:00","1744041606","0.225"
"04-07-2025 17:00","1744045205","0.22"
"04-07-2025 18:00","1744048806","0.22"
"04-07-2025 19:00","1744052405","0.22"
"04-07-2025 20:00","1744056006","0.22"
"04-07-2025 21:00","1744059606","0.225"
"04-07-2025 22:00","1744063206","0.225"
"04-07-2025 23:00","1744066806","0.225"
"04-08-2025 00:00","1744070406","0.225"
"04-08-2025 01:00","1744074005","0.225"
"04-08-2025 02:00","1744077606","0.225"
"04-08-2025 03:00","1744081206","0.225"
"04-08-2025 04:00","1744084806","0.225"
"04-08-2025 05:00","1744088405","0.225"
"04-08-2025 06:00","1744092006","0.225"
"04-08-2025 07:00","1744095606","0.225"
"04-08-2025 08:00","1744099206","0.225"
"04-08-2025 09:00","1744102805","0.225"
"04-08-2025 10:00","1744106405","0.225"
"04-08-2025 11:00","1744110006","0.225"
"04-08-2025 12:00","1744113606","0.225"
"04-08-2025 13:00","1744117206","0.225"
"04-08-2025 14:00","1744120806","0.225"
"04-08-2025 15:00","1744124405","0.225"
"04-08-2025 16:00","1744128006","0.225"
"04-08-2025 17:00","1744131605","0.225"
"04-08-2025 18:00","1744135205","0.225"
"04-08-2025 19:00","1744138806","0.225"
"04-08-2025 20:00","1744142405","0.225"
"04-08-2025 21:00","1744146006","0.225"
"04-08-2025 22:00","1744149605","0.225"
"04-08-2025 23:00","1744153205","0.225"
"04-09-2025 00:00","1744156806","0.225"
"04-09-2025 01:00","1744160406","0.225"
"04-09-2025 02:00","1744164006","0.225"
"04-09-2025 03:00","1744167606","0.225"
"04-09-2025 04:00","1744171206","0.225"
"04-09-2025 05:00","1744174806","0.225"
"04-09-2025 06:00","1744178405","0.225"
"04-09-2025 07:00","1744182006","0.225"
"04-09-2025 08:00","1744185606","0.225"
"04-09-2025 09:00","1744189206","0.225"
"04-09-2025 10:00","1744192806","0.225"
"04-09-2025 11:00","1744196406","0.225"
"04-09-2025 12:00","1744200006","0.225"
"04-09-2025 13:00","1744203606","0.225"
"04-09-2025 14:00","1744207206","0.225"
"04-09-2025 15:00","1744210806","0.225"
"04-09-2025 16:00","1744214405","0.225"
"04-09-2025 17:00","1744218005","0.225"
"04-09-2025 18:00","1744221605","0.225"
"04-09-2025 19:00","1744225206","0.225"
"04-09-2025 20:00","1744228806","0.225"
"04-09-2025 21:00","1744232405","0.225"
"04-09-2025 22:00","1744236006","0.23"
"04-09-2025 23:00","1744239605","0.23"
"04-10-2025 00:00","1744243205","0.23"
"04-10-2025 01:00","1744246805","0.23"
"04-10-2025 02:00","1744250406","0.23"
"04-10-2025 03:00","1744254005","0.23"
"04-10-2025 04:00","1744257605","0.23"
"04-10-2025 05:00","1744261205","0.23"
"04-10-2025 06:00","1744264804","0.23"
"04-10-2025 07:00","1744268405","0.23"
"04-10-2025 08:00","1744272005","0.23"
"04-10-2025 09:00","1744275606","0.23"
"04-10-2025 10:00","1744279206","0.23"
"04-10-2025 11:00","1744282806","0.23"
"04-10-2025 12:00","1744286406","0.23"
"04-10-2025 13:00","1744290006","0.23"
"04-10-2025 14:00","1744293605","0.23"
"04-10-2025 15:00","1744297205","0.23"
"04-10-2025 16:00","1744300805","0.23"
"04-10-2025 17:00","1744304406","0.23"
"04-10-2025 18:00","1744308005","0.23"
"04-10-2025 19:00","1744311606","0.23"
"04-10-2025 20:00","1744315205","0.23"
"04-10-2025 21:00","1744318804","0.23"
"04-10-2025 22:00","1744322406","0.23"
"04-10-2025 23:00","1744326005","0.23"
"04-11-2025 00:00","1744329605","0.225"
"04-11-2025 01:00","1744333206","0.225"
"04-11-2025 02:00","1744336806","0.225"
"04-11-2025 03:00","1744340406","0.225"
"04-11-2025 04:00","1744344006","0.225"
"04-11-2025 05:00","1744347606","0.225"
"04-11-2025 06:00","1744351206","0.225"
"04-11-2025 07:00","1744354805","0.225"
"04-11-2025 08:00","1744358406","0.225"
"04-11-2025 09:00","1744362006","0.23"
"04-11-2025 10:00","1744365605","0.23"
"04-11-2025 11:00","1744369206","0.23"
"04-11-2025 12:00","1744372806","0.23"
"04-11-2025 13:00","1744376405","0.23"
"04-11-2025 14:00","1744380005","0.23"
"04-11-2025 15:00","1744383606","0.22"
"04-11-2025 16:00","1744387206","0.22"
"04-11-2025 17:00","1744390806","0.22"
"04-11-2025 18:00","1744394406","0.22"
"04-11-2025 19:00","1744398005","0.22"
"04-11-2025 20:00","1744401606","0.22"
"04-11-2025 21:00","1744405206","0.22"
"04-11-2025 22:00","1744408806","0.22"
"04-11-2025 23:00","1744412406","0.22"
"04-12-2025 00:00","1744416006","0.22"
"04-12-2025 01:00","1744419606","0.22"
"04-12-2025 02:00","1744423206","0.22"
"04-12-2025 03:00","1744426806","0.22"
"04-12-2025 04:00","1744430406","0.22"
"04-12-2025 05:00","1744434005","0.22"
"04-12-2025 06:00","1744437605","0.22"
"04-12-2025 07:00","1744441205","0.22"
"04-12-2025 08:00","1744444805","0.22"
"04-12-2025 09:00","1744448405","0.22"
"04-12-2025 10:00","1744452005","0.225"
"04-12-2025 11:00","1744455605","0.225"
"04-12-2025 12:00","1744459205","0.22"
"04-12-2025 13:00","1744462805","0.22"
"04-12-2025 14:00","1744466405","0.22"
"04-12-2025 15:00","1744470005","0.22"
"04-12-2025 16:00","1744473606","0.22"
"04-12-2025 17:00","1744477205","0.22"
"04-12-2025 18:00","1744480805","0.22"
"04-12-2025 19:00","1744484405","0.22"
"04-12-2025 20:00","1744488005","0.22"
"04-12-2025 21:00","1744491605","0.22"
"04-12-2025 22:00","1744495205","0.22"
"04-12-2025 23:00","1744498805","0.22"
"04-13-2025 00:00","1744502405","0.22"
"04-13-2025 01:00","1744506005","0.22"
"04-13-2025 02:00","1744509605","0.22"
"04-13-2025 03:00","1744513206","0.22"
"04-13-2025 04:00","1744516805","0.22"
"04-13-2025 05:00","1744520405","0.22"
"04-13-2025 06:00","1744524006","0.22"
"04-13-2025 07:00","1744527606","0.22"
"04-13-2025 08:00","1744531205","0.22"
"04-13-2025 09:00","1744534806","0.22"
"04-13-2025 10:00","1744538406","0.22"
"04-13-2025 11:00","1744542005","0.22"
"04-13-2025 12:00","1744545605","0.22"
"04-13-2025 13:00","1744549206","0.22"
"04-13-2025 14:00","1744552806","0.22"
"04-13-2025 15:00","1744556407","0.22"
"04-13-2025 16:00","1744560006","0.22"
"04-13-2025 17:00","1744563605","0.22"
"04-13-2025 18:00","1744567205","0.22"
"04-13-2025 19:00","1744570805","0.22"
"04-13-2025 20:00","1744574405","0.22"
"04-13-2025 21:00","1744578006","0.22"
"04-13-2025 22:00","1744581605","0.22"
"04-13-2025 23:00","1744585205","0.22"
"04-14-2025 00:00","1744588805","0.22"
"04-14-2025 01:00","1744592405","0.22"
"04-14-2025 02:00","1744596005","0.22"
"04-14-2025 03:00","1744599605","0.22"
"04-14-2025 04:00","1744603205","0.22"
"04-14-2025 05:00","1744606804","0.22"
"04-14-2025 06:00","1744610404","0.22"
"04-14-2025 07:00","1744614004","0.22"
"04-14-2025 08:00","1744617605","0.22"
"04-14-2025 09:00","1744621205","0.22"
"04-14-2025 10:00","1744624805","0.22"
"04-14-2025 11:00","1744628405","0.22"
"04-14-2025 12:00","1744632004","0.22"
"04-14-2025 13:00","1744635605","0.22"
"04-14-2025 14:00","1744639205","0.22"
"04-14-2025 15:00","1744642805","0.215"
"04-14-2025 16:00","1744646404","0.21"
"04-14-2025 17:00","1744650005","0.21"
"04-14-2025 18:00","1744653604","0.21"
"04-14-2025 19:00","1744657205","0.21"
"04-14-2025 20:00","1744660805","0.21"
"04-14-2025 21:00","1744664405","0.21"
"04-14-2025 22:00","1744668004","0.21"
"04-14-2025 23:00","1744671605","0.21"
"04-15-2025 00:00","1744675205","0.21"
"04-15-2025 01:00","1744678805","0.21"
"04-15-2025 02:00","1744682405","0.21"
"04-15-2025 03:00","1744686004","0.21"
"04-15-2025 04:00","1744689605","0.21"
"04-15-2025 05:00","1744693205","0.21"
"04-15-2025 06:00","1744696804","0.21"
"04-15-2025 07:00","1744700437","0.21"
"04-15-2025 08:00","1744704004","0.21"
"04-15-2025 09:00","1744707605","0.21"
"04-15-2025 10:00","1744711206","0.21"
"04-15-2025 11:00","1744714805","0.21"
"04-15-2025 12:00","1744718405","0.21"
"04-15-2025 13:00","1744722005","0.21"
"04-15-2025 14:00","1744725605","0.21"
"04-15-2025 15:00","1744729205","0.21"
"04-15-2025 16:00","1744732805","0.21"
"04-15-2025 17:00","1744736405","0.21"
"04-15-2025 18:00","1744740005","0.21"
"04-15-2025 19:00","1744743606","0.21"
"04-15-2025 20:00","1744747206","0.21"
"04-15-2025 21:00","1744750806","0.21"
"04-15-2025 22:00","1744754405","0.21"
"04-15-2025 23:00","1744758005","0.21"
"04-16-2025 00:00","1744761605","0.21"
"04-16-2025 01:00","1744765205","0.21"
"04-16-2025 02:00","1744768806","0.21"
"04-16-2025 03:00","1744772405","0.21"
"04-16-2025 04:00","1744776005","0.21"
"04-16-2025 05:00","1744779606","0.21"
"04-16-2025 06:00","1744783205","0.21"
"04-16-2025 07:00","1744786805","0.21"
"04-16-2025 08:00","1744790406","0.21"
"04-16-2025 09:00","1744794006","0.21"
"04-16-2025 10:00","1744797606","0.21"
"04-16-2025 11:00","1744801207","0.21"
"04-16-2025 12:00","1744804806","0.21"
"04-16-2025 13:00","1744808406","0.21"
"04-16-2025 14:00","1744812006","0.21"
"04-16-2025 15:00","1744815606","0.21"
"04-16-2025 16:00","1744819206","0.21"
"04-16-2025 17:00","1744822806","0.21"
"04-16-2025 18:00","1744826405","0.21"
"04-16-2025 19:00","1744830005","0.21"
"04-16-2025 20:00","1744833605","0.21"
"04-16-2025 21:00","1744837205","0.21"
"04-16-2025 22:00","1744840806","0.21"
"04-16-2025 23:00","1744844405","0.21"
"04-17-2025 00:00","1744848006","0.21"
"04-17-2025 01:00","1744851605","0.21"
"04-17-2025 02:00","1744855205","0.21"
"04-17-2025 03:00","1744858806","0.21"
"04-17-2025 04:00","1744862405","0.21"
"04-17-2025 05:00","1744866005","0.21"
"04-17-2025 06:00","1744869605","0.21"
"04-17-2025 07:00","1744873206","0.21"
"04-17-2025 08:00","1744876806","0.21"
"04-17-2025 09:00","1744880405","0.21"
"04-17-2025 10:00","1744884005","0.21"
"04-17-2025 11:00","1744887605","0.21"
"04-17-2025 12:00","1744891205","0.21"
"04-17-2025 13:00","1744894806","0.21"
"04-17-2025 14:00","1744898406","0.21"
"04-17-2025 15:00","1744902006","0.21"
"04-17-2025 16:00","1744905606","0.195"
"04-17-2025 17:00","1744909205","0.2"
"04-17-2025 18:00","1744912806","0.2"
"04-17-2025 19:00","1744916406","0.2"
"04-17-2025 20:00","1744920005","0.2"
"04-17-2025 21:00","1744923605","0.2"
"04-17-2025 22:00","1744927205","0.2"
"04-17-2025 23:00","1744930806","0.2"
"04-18-2025 00:00","1744934404","0.2"
"04-18-2025 01:00","1744938005","0.2"
"04-18-2025 02:00","1744941606","0.2"
"04-18-2025 03:00","1744945206","0.2"
"04-18-2025 04:00","1744948805","0.2"
"04-18-2025 05:00","1744952405","0.19"
"04-18-2025 06:00","1744956005","0.19"
"04-18-2025 07:00","1744959606","0.19"
"04-18-2025 08:00","1744963206","0.19"
"04-18-2025 09:00","1744966806","0.19"
"04-18-2025 10:00","1744970406","0.19"
"04-18-2025 11:00","1744974006","0.19"
"04-18-2025 12:00","1744977605","0.19"
"04-18-2025 13:00","1744981205","0.19"
"04-18-2025 14:00","1744984806","0.19"
"04-18-2025 15:00","1744988405","0.19"
"04-18-2025 16:00","1744992006","0.19"
"04-18-2025 17:00","1744995606","0.19"
"04-18-2025 18:00","1744999205","0.19"
"04-18-2025 19:00","1745002806","0.19"
"04-18-2025 20:00","1745006406","0.19"
"04-18-2025 21:00","1745010005","0.19"
"04-18-2025 22:00","1745013606","0.19"
"04-18-2025 23:00","1745017206","0.19"
"04-19-2025 00:00","1745020806","0.19"
"04-19-2025 01:00","1745024406","0.19"
